Year,Locationabbr,Locationdesc,Class,Topic,BMI,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,DataSource
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"$35,000-$49,999",Household Income,294,28.82,24.78,32.86,2763,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"$35,000-$49,999",Household Income,405,38.33,33.67,42.99,2762,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"$35,000-$49,999",Household Income,26,,,,2760,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"$50,000-$99,999",Household Income,680,29.04,26.12,31.96,2765,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"$50,000-$99,999",Household Income,640,30.02,27.16,32.88,2767,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"$50,000-$99,999",Household Income,803,39.02,35.77,42.27,2766,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"$50,000-$99,999",Household Income,38,1.91,1.07,2.75,2764,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"Less than $15,000",Household Income,153,31.16,24.81,37.51,2749,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"Less than $15,000",Household Income,179,33.37,27.67,39.07,2751,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"Less than $15,000",Household Income,159,29.59,23.59,35.59,2750,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"Less than $15,000",Household Income,21,5.87,2.62,9.12,2748,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,Overall,Overall,3585,33.74,32.35,35.13,2665,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,Overall,Overall,2840,27.67,26.4,28.94,2667,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,Overall,Overall,3888,36.35,34.94,37.76,2666,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,Overall,Overall,225,2.24,1.75,2.73,2664,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,34,31.47,19.61,43.33,2709,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,30,28.91,16.74,41.08,2711,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories,  25.0-29.9,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,29,34.92,21.42,48.42,2710,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories,  12.0-18.4,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,4,,,,2708,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"Asian, non-Hispanic",Race/Ethnicity,434,50.52,45.84,55.2,2713,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"Asian, non-Hispanic",Race/Ethnicity,111,13.04,9.9,16.18,2715,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"Asian, non-Hispanic",Race/Ethnicity,279,33.07,28.6,37.54,2714,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"Asian, non-Hispanic",Race/Ethnicity,27,3.37,1.7,5.04,2712,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"Black, non-Hispanic",Race/Ethnicity,170,28.15,23,33.3,2705,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"Black, non-Hispanic",Race/Ethnicity,226,36.79,31.34,42.24,2707,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"Black, non-Hispanic",Race/Ethnicity,239,32.11,27.31,36.91,2706,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"Black, non-Hispanic",Race/Ethnicity,8,,,,2704,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,Hispanic,Race/Ethnicity,711,24.31,22.21,26.41,2729,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,Hispanic,Race/Ethnicity,970,35.96,33.57,38.35,2731,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,Hispanic,Race/Ethnicity,1104,38.58,36.19,40.97,2730,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,Hispanic,Race/Ethnicity,41,1.14,0.73,1.55,2728,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"Multiracial, non-Hispanic",Race/Ethnicity,100,37.39,29.31,45.47,2725,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"Multiracial, non-Hispanic",Race/Ethnicity,69,29.73,21.36,38.1,2727,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"Multiracial, non-Hispanic",Race/Ethnicity,84,27.35,19.43,35.27,2726,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"Multiracial, non-Hispanic",Race/Ethnicity,7,,,,2724,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,13,,,,2717,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,12,,,,2719,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,22,,,,2718,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,1,,,,2716,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.9,"Other, non-Hispanic",Race/Ethnicity,38,32.59,17.3,47.88,2721,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"Other, non-Hispanic",Race/Ethnicity,30,25.61,13.77,37.45,2723,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"Other, non-Hispanic",Race/Ethnicity,31,39.49,23.26,55.72,2722,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"Other, non-Hispanic",Race/Ethnicity,2,,,,2720,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 18.5-24.4,"White, non-Hispanic",Race/Ethnicity,2085,35.65,33.79,37.51,2701,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 30.0 - 99.8,"White, non-Hispanic",Race/Ethnicity,1392,25.05,23.4,26.7,2703,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 25.0-29.9,"White, non-Hispanic",Race/Ethnicity,2100,36.93,35.03,38.83,2702,BRFSS
2023,CA,California,Overweight and Obesity (BMI),BMI Categories, 12.0-18.4,"White, non-Hispanic",Race/Ethnicity,135,2.37,1.61,3.13,2700,BRFSS
,,,,,,,,,,,,,
